Date,HUA_clinecenter,SBUX_clinecenter,TIK_clinecenter,HUA_brandwatch,SBUX_brandwatch,TIK_brandwatch
2019-03-19,0.728,2.692,-0.556,-0.980,0.296,-0.861
2019-03-19,0.728,2.692,-0.556,-0.980,0.296,-0.861
2019-03-20,1.000,1.970,0.263,-0.649,-0.277,1.271
2019-03-20,1.000,1.970,0.263,-0.649,-0.277,1.271
2019-03-21,0.821,1.102,1.000,0.084,-0.870,4.206
2019-03-21,0.821,1.102,1.000,0.084,-0.870,4.206
2019-03-22,0.172,2.755,-0.625,-1.122,-0.536,4.279
2019-03-22,0.172,2.755,-0.625,-1.122,-0.536,4.279
2019-03-25,0.072,1.000,0.000,0.763,0.748,4.241
2019-03-25,0.072,1.000,0.000,0.763,0.748,4.241
2019-03-27,0.595,1.349,0.714,0.251,-0.012,4.044
2019-03-28,-1.891,2.083,1.667,-1.630,2.403,2.010
2019-03-29,-1.040,1.136,0.333,-0.710,2.531,0.380
2019-03-30,2.429,3.800,1.667,-0.278,0.845,1.538
2019-03-31,1.522,2.353,2.500,0.552,0.513,-0.121
2019-04-01,1.596,1.500,0.833,0.357,2.300,0.750
2019-04-03,1.250,1.750,-0.833,1.294,0.264,4.897
2019-04-04,-0.973,2.273,1.923,-0.321,-0.885,4.663
2019-04-05,2.000,1.528,3.077,1.797,-0.485,4.763
2019-04-06,1.154,2.059,0.000,0.779,1.105,2.889
2019-04-07,-1.854,1.170,2.333,-0.775,0.567,2.314
2019-04-08,0.699,3.431,0.385,-2.903,0.402,2.954
2019-04-09,1.562,3.077,1.316,-1.234,-0.774,3.143
2019-04-10,2.500,2.534,3.182,0.924,-2.503,2.904
2019-04-11,2.000,3.375,0.833,0.416,-1.299,1.674
2019-04-12,0.000,3.085,2.143,2.223,-2.866,-1.169
2019-04-13,0.926,0.500,3.571,2.809,-2.299,2.776
2019-04-14,1.792,0.625,-2.778,-3.568,-0.214,2.193
2019-04-15,1.709,1.571,-0.185,-3.426,0.429,3.331
2019-04-16,1.444,1.842,0.405,-1.150,-0.495,3.255
